block,timestamp,pool,plugin,volCum_0,volCum_86400,realizedVol
79840263,1790261785,0x5C4B7d607aAF7B5CDE9F09b5F03Cf3b5c923AEEa,0x20430C07DfeF00391b72f00Ae865D3aa31F723d1,6834226007149,6820758682361,155871
79840264,1790261786,0x5C4B7d607aAF7B5CDE9F09b5F03Cf3b5c923AEEa,0x20430C07DfeF00391b72f00Ae865D3aa31F723d1,6834226015249,6820759146122,155866
79840265,1790261788,0x5C4B7d607aAF7B5CDE9F09b5F03Cf3b5c923AEEa,0x20430C07DfeF00391b72f00Ae865D3aa31F723d1,6834226031449,6820760073644,155855
79840266,1790261788,0x5C4B7d607aAF7B5CDE9F09b5F03Cf3b5c923AEEa,0x20430C07DfeF00391b72f00Ae865D3aa31F723d1,6834226031449,6820760073644,155855
79840267,1790261789,0x5C4B7d607aAF7B5CDE9F09b5F03Cf3b5c923AEEa,0x20430C07DfeF00391b72f00Ae865D3aa31F723d1,6834226039549,6820760537405,155850
79840268,1790261792,0x5C4B7d607aAF7B5CDE9F09b5F03Cf3b5c923AEEa,0x20430C07DfeF00391b72f00Ae865D3aa31F723d1,6834226063849,6820761948893,155834
79840269,1790261793,0x5C4B7d607aAF7B5CDE9F09b5F03Cf3b5c923AEEa,0x20430C07DfeF00391b72f00Ae865D3aa31F723d1,6834226071949,6820762407893,155829
79840270,1790261797,0x5C4B7d607aAF7B5CDE9F09b5F03Cf3b5c923AEEa,0x20430C07DfeF00391b72f00Ae865D3aa31F723d1,6834226104349,6820764243893,155808
79840271,1790261799,0x5C4B7d607aAF7B5CDE9F09b5F03Cf3b5c923AEEa,0x20430C07DfeF00391b72f00Ae865D3aa31F723d1,6834226120549,6820765161893,155798
79840272,1790261803,0x5C4B7d607aAF7B5CDE9F09b5F03Cf3b5c923AEEa,0x20430C07DfeF00391b72f00Ae865D3aa31F723d1,6834226152949,6820766997893,155777
79840273,1790261807,0x5C4B7d607aAF7B5CDE9F09b5F03Cf3b5c923AEEa,0x20430C07DfeF00391b72f00Ae865D3aa31F723d1,6834226185349,6820768833893,155756
79840274,1790261811,0x5C4B7d607aAF7B5CDE9F09b5F03Cf3b5c923AEEa,0x20430C07DfeF00391b72f00Ae865D3aa31F723d1,6834226217749,6820770669893,155735
79840275,1790261813,0x5C4B7d607aAF7B5CDE9F09b5F03Cf3b5c923AEEa,0x20430C07DfeF00391b72f00Ae865D3aa31F723d1,6834226233949,6820771587893,155725
79840276,1790261814,0x5C4B7d607aAF7B5CDE9F09b5F03Cf3b5c923AEEa,0x20430C07DfeF00391b72f00Ae865D3aa31F723d1,6834226242049,6820772046893,155719
79840277,1790261814,0x5C4B7d607aAF7B5CDE9F09b5F03Cf3b5c923AEEa,0x20430C07DfeF00391b72f00Ae865D3aa31F723d1,6834226242049,6820772046893,155719
79840278,1790261819,0x5C4B7d607aAF7B5CDE9F09b5F03Cf3b5c923AEEa,0x20430C07DfeF00391b72f00Ae865D3aa31F723d1,6834226282549,6820774341893,155693
79840279,1790261821,0x5C4B7d607aAF7B5CDE9F09b5F03Cf3b5c923AEEa,0x20430C07DfeF00391b72f00Ae865D3aa31F723d1,6834226298749,6820775259893,155683
79840280,1790261822,0x5C4B7d607aAF7B5CDE9F09b5F03Cf3b5c923AEEa,0x20430C07DfeF00391b72f00Ae865D3aa31F723d1,6834226306849,6820775718893,155678
79840281,1790261822,0x5C4B7d607aAF7B5CDE9F09b5F03Cf3b5c923AEEa,0x20430C07DfeF00391b72f00Ae865D3aa31F723d1,6834226306849,6820775718893,155678
79840282,1790261822,0x5C4B7d607aAF7B5CDE9F09b5F03Cf3b5c923AEEa,0x20430C07DfeF00391b72f00Ae865D3aa31F723d1,6834226306849,6820775718893,155678
79840283,1790261823,0x5C4B7d607aAF7B5CDE9F09b5F03Cf3b5c923AEEa,0x20430C07DfeF00391b72f00Ae865D3aa31F723d1,6834226313738,6820776177893,155672
79840284,1790261823,0x5C4B7d607aAF7B5CDE9F09b5F03Cf3b5c923AEEa,0x20430C07DfeF00391b72f00Ae865D3aa31F723d1,6834226313738,6820776177893,155672
79840285,1790261824,0x5C4B7d607aAF7B5CDE9F09b5F03Cf3b5c923AEEa,0x20430C07DfeF00391b72f00Ae865D3aa31F723d1,6834226319514,6820776636893,155667
79840286,1790261824,0x5C4B7d607aAF7B5CDE9F09b5F03Cf3b5c923AEEa,0x20430C07DfeF00391b72f00Ae865D3aa31F723d1,6834226319514,6820776636893,155667
79840287,1790261825,0x5C4B7d607aAF7B5CDE9F09b5F03Cf3b5c923AEEa,0x20430C07DfeF00391b72f00Ae865D3aa31F723d1,6834226325290,6820777095893,155662
79840288,1790261825,0x5C4B7d607aAF7B5CDE9F09b5F03Cf3b5c923AEEa,0x20430C07DfeF00391b72f00Ae865D3aa31F723d1,6834226325290,6820777095893,155662
79840289,1790261826,0x5C4B7d607aAF7B5CDE9F09b5F03Cf3b5c923AEEa,0x20430C07DfeF00391b72f00Ae865D3aa31F723d1,6834226331066,6820777554893,155657
79840290,1790261827,0x5C4B7d607aAF7B5CDE9F09b5F03Cf3b5c923AEEa,0x20430C07DfeF00391b72f00Ae865D3aa31F723d1,6834226336842,6820778013893,155651
79840291,1790261827,0x5C4B7d607aAF7B5CDE9F09b5F03Cf3b5c923AEEa,0x20430C07DfeF00391b72f00Ae865D3aa31F723d1,6834226336842,6820778013893,155651
79840292,1790261827,0x5C4B7d607aAF7B5CDE9F09b5F03Cf3b5c923AEEa,0x20430C07DfeF00391b72f00Ae865D3aa31F723d1,6834226336842,6820778013893,155651
79840293,1790261830,0x5C4B7d607aAF7B5CDE9F09b5F03Cf3b5c923AEEa,0x20430C07DfeF00391b72f00Ae865D3aa31F723d1,6834226354170,6820779390893,155636
79840294,1790261830,0x5C4B7d607aAF7B5CDE9F09b5F03Cf3b5c923AEEa,0x20430C07DfeF00391b72f00Ae865D3aa31F723d1,6834226354170,6820779390893,155636
79840295,1790261831,0x5C4B7d607aAF7B5CDE9F09b5F03Cf3b5c923AEEa,0x20430C07DfeF00391b72f00Ae865D3aa31F723d1,6834226359946,6820779849893,155630
79840296,1790261831,0x5C4B7d607aAF7B5CDE9F09b5F03Cf3b5c923AEEa,0x20430C07DfeF00391b72f00Ae865D3aa31F723d1,6834226359946,6820779849893,155630
79840297,1790261832,0x5C4B7d607aAF7B5CDE9F09b5F03Cf3b5c923AEEa,0x20430C07DfeF00391b72f00Ae865D3aa31F723d1,6834226365722,6820780308893,155625
79840298,1790261833,0x5C4B7d607aAF7B5CDE9F09b5F03Cf3b5c923AEEa,0x20430C07DfeF00391b72f00Ae865D3aa31F723d1,6834226371498,6820780767893,155620
79840299,1790261834,0x5C4B7d607aAF7B5CDE9F09b5F03Cf3b5c923AEEa,0x20430C07DfeF00391b72f00Ae865D3aa31F723d1,6834226377274,6820781226893,155615
79840300,1790261835,0x5C4B7d607aAF7B5CDE9F09b5F03Cf3b5c923AEEa,0x20430C07DfeF00391b72f00Ae865D3aa31F723d1,6834226383050,6820781685893,155609
79840301,1790261836,0x5C4B7d607aAF7B5CDE9F09b5F03Cf3b5c923AEEa,0x20430C07DfeF00391b72f00Ae865D3aa31F723d1,6834226388826,6820782144893,155604
79840302,1790261837,0x5C4B7d607aAF7B5CDE9F09b5F03Cf3b5c923AEEa,0x20430C07DfeF00391b72f00Ae865D3aa31F723d1,6834226394602,6820782603893,155599
79840303,1790261837,0x5C4B7d607aAF7B5CDE9F09b5F03Cf3b5c923AEEa,0x20430C07DfeF00391b72f00Ae865D3aa31F723d1,6834226394602,6820782603893,155599
79840304,1790261839,0x5C4B7d607aAF7B5CDE9F09b5F03Cf3b5c923AEEa,0x20430C07DfeF00391b72f00Ae865D3aa31F723d1,6834226406154,6820783521893,155588
79840305,1790261839,0x5C4B7d607aAF7B5CDE9F09b5F03Cf3b5c923AEEa,0x20430C07DfeF00391b72f00Ae865D3aa31F723d1,6834226406154,6820783521893,155588
79840306,1790261843,0x5C4B7d607aAF7B5CDE9F09b5F03Cf3b5c923AEEa,0x20430C07DfeF00391b72f00Ae865D3aa31F723d1,6834226429258,6820785357893,155567
79840307,1790261844,0x5C4B7d607aAF7B5CDE9F09b5F03Cf3b5c923AEEa,0x20430C07DfeF00391b72f00Ae865D3aa31F723d1,6834226435034,6820785816893,155562
79840308,1790261845,0x5C4B7d607aAF7B5CDE9F09b5F03Cf3b5c923AEEa,0x20430C07DfeF00391b72f00Ae865D3aa31F723d1,6834226440810,6820786275893,155557
79840309,1790261849,0x5C4B7d607aAF7B5CDE9F09b5F03Cf3b5c923AEEa,0x20430C07DfeF00391b72f00Ae865D3aa31F723d1,6834226463914,6820788111893,155536
79840310,1790261850,0x5C4B7d607aAF7B5CDE9F09b5F03Cf3b5c923AEEa,0x20430C07DfeF00391b72f00Ae865D3aa31F723d1,6834226469690,6820788570893,155531
79840311,1790261851,0x5C4B7d607aAF7B5CDE9F09b5F03Cf3b5c923AEEa,0x20430C07DfeF00391b72f00Ae865D3aa31F723d1,6834226475466,6820789029893,155525
79840312,1790261851,0x5C4B7d607aAF7B5CDE9F09b5F03Cf3b5c923AEEa,0x20430C07DfeF00391b72f00Ae865D3aa31F723d1,6834226475466,6820789029893,155525
79840313,1790261852,0x5C4B7d607aAF7B5CDE9F09b5F03Cf3b5c923AEEa,0x20430C07DfeF00391b72f00Ae865D3aa31F723d1,6834226481242,6820789488893,155520
79840314,1790261852,0x5C4B7d607aAF7B5CDE9F09b5F03Cf3b5c923AEEa,0x20430C07DfeF00391b72f00Ae865D3aa31F723d1,6834226481242,6820789488893,155520
79840315,1790261853,0x5C4B7d607aAF7B5CDE9F09b5F03Cf3b5c923AEEa,0x20430C07DfeF00391b72f00Ae865D3aa31F723d1,6834226487018,6820789947893,155515
79840316,1790261856,0x5C4B7d607aAF7B5CDE9F09b5F03Cf3b5c923AEEa,0x20430C07DfeF00391b72f00Ae865D3aa31F723d1,6834226504346,6820791324893,155499
79840317,1790261857,0x5C4B7d607aAF7B5CDE9F09b5F03Cf3b5c923AEEa,0x20430C07DfeF00391b72f00Ae865D3aa31F723d1,6834226509530,6820791783893,155494
79840318,1790261857,0x5C4B7d607aAF7B5CDE9F09b5F03Cf3b5c923AEEa,0x20430C07DfeF00391b72f00Ae865D3aa31F723d1,6834226509530,6820791783893,155494
79840319,1790261860,0x5C4B7d607aAF7B5CDE9F09b5F03Cf3b5c923AEEa,0x20430C07DfeF00391b72f00Ae865D3aa31F723d1,6834226525082,6820793160893,155478
79840320,1790261861,0x5C4B7d607aAF7B5CDE9F09b5F03Cf3b5c923AEEa,0x20430C07DfeF00391b72f00Ae865D3aa31F723d1,6834226530266,6820793619893,155473
